method,overlap,P@5,R@5,AP,MRR,nDCG
Boolean Search 1,3,0.6,0.6,0.55,1.0,0.7234207784826905
Boolean Search 2,1,0.2,0.2,0.2,1.0,0.32863870183525623
Boolean Search 3,2,0.4,0.4,0.4,1.0,0.19483431455571196
Boolean Search 4,2,0.4,0.4,0.4,1.0,0.8865345856224913
Boolean Search 5,2,0.4,0.4,0.2333333333333333,0.5,0.38106291226235717
Boolean Search 6,1,0.2,0.2,0.2,1.0,0.6791866504595295
Boolean Search 7,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 8,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 9,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 10,1,0.2,0.2,0.2,1.0,0.6791866504595295
Boolean Search 11,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 12,3,0.6,0.6,0.3833333333333333,0.5,0.400226762046531
Boolean Search 13,1,0.2,0.2,0.2,1.0,0.6791866504595295
Boolean Search 14,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 15,1,0.2,0.2,0.1,0.5,0.013823195677530794
Boolean Search 16,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 17,0,0.0,0.0,0.0,0.0,0.0
Boolean Search 18,1,0.2,0.2,0.2,1.0,0.06572774036705124
Boolean Search 19,1,0.2,0.25,0.08333333333333333,0.3333333333333333,0.35133438243248394
Boolean Search 20,2,1.0,0.4,0.4,1.0,0.4504283127924717
BM25 Search 1,3,0.6,0.6,0.55,1.0,0.7234207784826905
BM25 Search 2,1,0.2,0.2,0.2,1.0,0.32863870183525623
BM25 Search 3,3,0.6,0.6,0.52,1.0,0.17096576373449243
BM25 Search 4,2,0.4,0.4,0.4,1.0,0.7571577678387108
BM25 Search 5,2,0.4,0.4,0.27999999999999997,1.0,0.7046136113337064
BM25 Search 6,1,0.2,0.2,0.2,1.0,0.6791866504595295
BM25 Search 7,0,0.0,0.0,0.0,0.0,0.0
BM25 Search 8,2,0.4,0.4,0.16666666666666666,0.3333333333333333,0.19262674790885137
BM25 Search 9,0,0.0,0.0,0.0,0.0,0.0
BM25 Search 10,1,0.2,0.2,0.1,0.5,0.42851906600345463
BM25 Search 11,0,0.0,0.0,0.0,0.0,0.0
BM25 Search 12,2,0.4,0.4,0.3333333333333333,1.0,0.09859161055057686
BM25 Search 13,2,0.4,0.4,0.3333333333333333,1.0,0.7120505206430552
BM25 Search 14,0,0.0,0.0,0.0,0.0,0.0
BM25 Search 15,2,0.4,0.4,0.14666666666666667,0.3333333333333333,0.036381584268685416
BM25 Search 16,0,0.0,0.0,0.0,0.0,0.0
BM25 Search 17,0,0.0,0.0,0.0,0.0,0.0
BM25 Search 18,1,0.2,0.2,0.2,1.0,0.06572774036705124
BM25 Search 19,1,0.2,0.25,0.25,1.0,0.14053375297299356
BM25 Search 20,2,0.4,0.4,0.4,1.0,0.4504283127924717
Semantic Search 1,4,0.8,0.8,0.8,1.0,0.9685757681110965
Semantic Search 2,0,0.0,0.0,0.0,0.0,0.0
Semantic Search 3,1,0.2,0.2,0.04,0.2,0.008475653624725625
Semantic Search 4,1,0.2,0.2,0.2,1.0,0.32863870183525623
Semantic Search 5,1,0.2,0.2,0.2,1.0,0.6791866504595295
Semantic Search 6,1,0.2,0.2,0.2,1.0,0.6791866504595295
Semantic Search 7,0,0.0,0.0,0.0,0.0,0.0
Semantic Search 8,4,0.8,0.8,0.8,1.0,0.4413763606758336
Semantic Search 9,1,0.2,0.2,0.05,0.25,0.06605059297952091
Semantic Search 10,2,0.4,0.4,0.3333333333333333,1.0,0.8435060013771576
Semantic Search 11,1,0.2,0.2,0.04,0.2,0.059329575373079375
Semantic Search 12,1,0.2,0.2,0.04,0.2,0.26274526236649437
Semantic Search 13,1,0.2,0.2,0.04,0.2,0.025426960874176875
Semantic Search 14,1,0.2,0.2,0.06666666666666667,0.3333333333333333,0.16431935091762812
Semantic Search 15,1,0.2,0.2,0.04,0.2,0.059329575373079375
Semantic Search 16,0,0.0,0.0,0.0,0.0,0.0
Semantic Search 17,0,0.0,0.0,0.0,0.0,0.0
Semantic Search 18,1,0.2,0.2,0.1,0.5,0.041469587032592375
Semantic Search 19,1,0.2,0.25,0.25,1.0,0.14053375297299356
Semantic Search 20,3,0.6,0.6,0.52,1.0,0.8201446505079447
FAISS Semantic Search 1,4,0.8,0.8,0.8,1.0,0.9685757681110965
FAISS Semantic Search 2,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search 3,1,0.2,0.2,0.04,0.2,0.008475653624725625
FAISS Semantic Search 4,1,0.2,0.2,0.2,1.0,0.32863870183525623
FAISS Semantic Search 5,1,0.2,0.2,0.2,1.0,0.6791866504595295
FAISS Semantic Search 6,1,0.2,0.2,0.2,1.0,0.6791866504595295
FAISS Semantic Search 7,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search 8,4,0.8,0.8,0.8,1.0,0.4413763606758336
FAISS Semantic Search 9,1,0.2,0.2,0.05,0.25,0.06605059297952091
FAISS Semantic Search 10,2,0.4,0.4,0.3333333333333333,1.0,0.8435060013771576
FAISS Semantic Search 11,1,0.2,0.2,0.04,0.2,0.059329575373079375
FAISS Semantic Search 12,1,0.2,0.2,0.04,0.2,0.26274526236649437
FAISS Semantic Search 13,1,0.2,0.2,0.04,0.2,0.025426960874176875
FAISS Semantic Search 14,1,0.2,0.2,0.06666666666666667,0.3333333333333333,0.16431935091762812
FAISS Semantic Search 15,1,0.2,0.2,0.04,0.2,0.059329575373079375
FAISS Semantic Search 16,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search 17,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search 18,1,0.2,0.2,0.1,0.5,0.041469587032592375
FAISS Semantic Search 19,1,0.2,0.25,0.25,1.0,0.14053375297299356
FAISS Semantic Search 20,3,0.6,0.6,0.52,1.0,0.8201446505079447
Fused Search 1,3,0.6,0.6,0.6,1.0,0.7462031444442023
Fused Search 2,1,0.2,0.2,0.1,0.5,0.2073479351629619
Fused Search 3,2,0.4,0.4,0.14666666666666667,0.3333333333333333,0.08515801738628541
Fused Search 4,1,0.2,0.2,0.2,1.0,0.32863870183525623
Fused Search 5,1,0.2,0.2,0.2,1.0,0.6791866504595295
Fused Search 6,1,0.2,0.2,0.2,1.0,0.6791866504595295
Fused Search 7,0,0.0,0.0,0.0,0.0,0.0
Fused Search 8,4,0.8,0.8,0.71,1.0,0.4446345354720952
Fused Search 9,0,0.0,0.0,0.0,0.0,0.0
Fused Search 10,1,0.2,0.2,0.2,1.0,0.6791866504595295
Fused Search 11,1,0.2,0.2,0.04,0.2,0.059329575373079375
Fused Search 12,1,0.2,0.2,0.06666666666666667,0.3333333333333333,0.33959332522976476
Fused Search 13,2,0.4,0.4,0.2333333333333333,0.5,0.46138293618698023
Fused Search 14,0,0.0,0.0,0.0,0.0,0.0
Fused Search 15,1,0.2,0.2,0.05,0.25,0.06605059297952091
Fused Search 16,0,0.0,0.0,0.0,0.0,0.0
Fused Search 17,0,0.0,0.0,0.0,0.0,0.0
Fused Search 18,1,0.2,0.2,0.2,1.0,0.06572774036705124
Fused Search 19,2,0.4,0.5,0.41666666666666663,1.0,0.49186813540547747
Fused Search 20,3,0.6,0.6,0.52,1.0,0.8201446505079447
